2024-05-14 14:22:46.777 [info] Extension host with pid 172 started
2024-05-14 14:22:46.892 [info] ExtensionService#_doActivateExtension vscode.git-base, startup: true, activationEvent: '*', root cause: vscode.git
2024-05-14 14:22:46.921 [info] ExtensionService#_doActivateExtension vscode.git, startup: true, activationEvent: '*'
2024-05-14 14:22:46.922 [info] ExtensionService#_doActivateExtension vscode.github, startup: true, activationEvent: '*'
2024-05-14 14:22:47.362 [info] Eager extensions activated
2024-05-14 14:22:47.363 [info] ExtensionService#_doActivateExtension vscode.debug-auto-launch, startup: false, activationEvent: 'onStartupFinished'
2024-05-14 14:22:47.364 [info] ExtensionService#_doActivateExtension vscode.merge-conflict, startup: false, activationEvent: 'onStartupFinished'
2024-05-14 14:23:17.562 [info] ExtensionService#_doActivateExtension vscode.emmet, startup: false, activationEvent: 'onLanguage'
2024-05-14 14:29:43.712 [info] ExtensionService#_doActivateExtension vscode.npm, startup: false, activationEvent: 'onTerminalQuickFixRequest:ms-vscode.npm-command'
2024-05-14 14:30:05.727 [info] ExtensionService#_doActivateExtension vscode.grunt, startup: false, activationEvent: 'onTaskType:grunt'
2024-05-14 14:30:05.727 [info] ExtensionService#_doActivateExtension vscode.gulp, startup: false, activationEvent: 'onTaskType:gulp'
2024-05-14 14:30:05.727 [info] ExtensionService#_doActivateExtension vscode.jake, startup: false, activationEvent: 'onTaskType:jake'
2024-05-14 14:30:05.728 [info] ExtensionService#_doActivateExtension vscode.typescript-language-features, startup: false, activationEvent: 'onTaskType:typescript'
